name,online_order,book_table,rate,votes,location,cuisines,cost_for_two,normalized_rating
gustoes beer house,no,no,4.1,868,banashankari,"continental, italian, mexican, north indian, chinese, steak",1200,4.020760850382556
the biryani cafe,no,no,4.1,520,banashankari,"biryani, chinese, kebab",300,3.995940666704004
rolls on wheels,no,no,3.6,299,banashankari,"fast food, rolls, momos",300,3.8021236861889314
sri guru kottureshwara davangere benne dosa,yes,no,4.1,558,basavanagudi,south indian,150,3.9993821416084847
upahar sagar,no,no,3.8,39,banashankari,"south indian, chinese, north indian",350,3.897920763028808
frozen bottle,yes,no,4.2,146,banashankari,"beverages, desserts, ice cream",400,3.962944478572794
meghana foods,yes,no,4.4,4401,jayanagar,"biryani, north indian, chinese",600,4.341324134757241
nandhini deluxe,no,no,2.6,283,banashankari,north indian,600,3.4820252639681337
vi ra's bar and restaurant,no,no,3.3,62,banashankari,"south indian, north indian, chinese",800,3.8469985922023717
chatar patar,no,no,3.7,65,banashankari,"fast food, street food",300,3.8841312205916902
polar bear,yes,no,3.8,71,basavanagudi,"ice cream, desserts, beverages, sandwich",400,3.8931874330938805
kidambi's kitchen,no,no,3.5,52,banashankari,south indian,300,3.871679752267728
mane thindi,no,no,3.7,130,banashankari,south indian,200,3.8675313185966003
floured-baked with love,no,no,3.8,45,banashankari,bakery,400,3.8969969822455166
bengaluru coffee house,yes,no,4.1,201,banashankari,"south indian, north indian, chinese, street food",300,3.9540278796820063
anna kuteera,yes,no,4.0,771,banashankari,"south indian, north indian, chinese",450,3.9585096040441616
darbar,no,no,3.0,98,banashankari,"north indian, chinese",800,3.77574757722518
sri udupi food hub,yes,yes,4.1,175,jayanagar,"south indian, north indian, chinese, beverages",500,3.949073212412727
house of kebabs,yes,no,3.8,540,basavanagudi,"north indian, kebab, biryani, chinese",650,3.8545447221115374
roll n rock,yes,no,3.8,124,kumaraswamy layout,"chinese, north indian, mughlai, rolls",400,3.88627983315825
box8- desi meals,yes,no,4.1,340,banashankari,"north indian, mughlai, fast food",500,3.975821783789633
kfc,yes,no,3.8,505,banashankari,"burger, fast food",450,3.856286569989187
roll over,yes,no,4.1,438,jayanagar,"desserts, ice cream, beverages, fast food, sandwich",500,3.987648280571573
imperial restaurant,yes,no,3.7,264,mysore road,"north indian, chinese, biryani, beverages",750,3.8412749481966655
wahab,yes,no,3.7,97,jayanagar,"north indian, mughlai, chinese",350,3.875566977773472
canton,yes,no,3.6,195,jayanagar,"chinese, seafood, biryani",800,3.828867787160495
the blue wagon - kitchen,yes,no,4.6,228,jayanagar,"cafe, beverages",400,4.098034286578937
patio 805,yes,yes,4.1,364,jayanagar,"thai, vietnamese, asian, chinese",1200,3.9789424928881134
lassi corner,yes,no,3.7,107,basavanagudi,"beverages, ice cream",150,3.8730516915589526
sagar deluxe,yes,no,3.2,167,kumaraswamy layout,"south indian, north indian, chinese, juices",300,3.749195357134761
energy addaa,yes,no,4.2,64,basavanagudi,"salad, healthy food, sandwich, juices, burger, desserts, pizza",500,3.933267298791067
tandoori knight,yes,no,3.0,290,banashankari,"north indian, chinese, biryani, kebab",450,3.6066856761726998
dev sagar - food street,yes,no,4.1,233,basavanagudi,street food,200,3.9596966998885295
mitraa da pizza,yes,no,3.8,115,kumaraswamy layout,"fast food, pizza",250,3.8873797177169243
grazers,yes,yes,3.9,291,jayanagar,"cafe, burger, continental, italian, desserts",650,3.902936599442345
shakes theory,yes,no,4.5,155,jayanagar,"beverages, sandwich",300,4.028136837410387
@italy,yes,no,4.1,305,kumaraswamy layout,italian,700,3.9709710722189158
old mumbai ice cream,yes,no,3.9,38,banashankari,ice cream,150,3.904117775370666
donne biriyani house,yes,no,3.9,441,banashankari,"south indian, north indian, chinese, biryani",400,3.902509768128051
kedia's fun food,yes,no,4.3,630,jayanagar,"north indian, street food, juices",200,4.108509484609459
just shawarma,yes,no,3.9,160,kumaraswamy layout,arabian,300,3.903448842487548
mini punjabi dhaba,yes,no,4.2,287,banashankari,north indian,350,4.001013759348689
gokul veg,yes,no,3.8,469,basavanagudi,"north indian, chinese, beverages",750,3.85819818934731
olive - era,yes,no,3.3,511,kumaraswamy layout,"bbq, arabian, rolls, chinese, north indian, juices, kebab, desserts",550,3.624128929862204
gama gama,yes,no,3.9,264,banashankari,south indian,200,3.9030293341615776
pizza hut,yes,no,3.8,693,banashankari,"pizza, fast food",750,3.848045234196378
mangalore pearl,yes,no,3.8,242,jayanagar,"mangalorean, seafood, chinese, biryani",650,3.8740577199377535
twiststick house,yes,no,4.1,163,basavanagudi,"continental, fast food, street food, momos",500,3.946671194573142
cool corner,yes,no,4.2,191,basavanagudi,"street food, fast food",250,3.976585780956712
pizza mane,yes,no,3.5,32,banashankari,"pizza, sandwich, burger, fast food",150,3.8836116865299344
dal tadkaa,yes,no,2.5,247,banashankari,north indian,500,3.490441623756741
chutney chang,yes,yes,4.1,2339,jayanagar,"north indian, chinese, bbq",1500,4.060542689661484
mystique palate,yes,no,4.1,337,jayanagar,"chinese, fast food",300,3.9754203455906776
thamboola,yes,no,3.9,135,banashankari,"north indian, chinese, continental",800,3.9035676042811964
castle rock,yes,no,3.6,172,uttarahalli,"north indian, chinese",700,3.835766816131257
vietnamese kitchen,yes,no,3.6,105,banashankari,vietnamese,700,3.858462759638145
toscano,yes,yes,4.3,1129,jayanagar,"italian, salad",1300,4.164064000411714
stoned monkey,yes,no,4.3,860,banashankari,"desserts, ice cream",500,4.138862908827118
central jail restaurant,yes,no,3.8,412,jayanagar,"andhra, seafood, north indian, chinese",700,3.8615055640161007
bella,yes,yes,3.9,142,jayanagar,"mangalorean, seafood, south indian",1000,3.9035335343903803
new prashanth hotel,yes,no,3.6,143,jayanagar,"south indian, biryani, chinese, north indian",750,3.845081853825816
karma kaapi,yes,no,4.4,181,jayanagar,"beverages, tea",250,4.020583006098638
tiwari's,yes,no,3.8,70,jayanagar,"north indian, street food",200,3.89332841256906
pizza stop,yes,no,3.8,164,basavanagudi,"pizza, italian",600,3.881708716169734
biggies burger 'n' more,yes,no,3.6,58,kumaraswamy layout,"cafe, burger, beverages",650,3.8771804017074714
kollapuri's,no,no,3.9,206,basavanagudi,"south indian, mangalorean",450,3.903249787588644
rs shiv sagar,no,no,3.7,217,basavanagudi,"north indian, chinese, south indian, fast food, juices",450,3.8494926741437485
harshi super sandwich,no,no,3.8,148,basavanagudi,"fast food, street food",150,3.883477781743097
ugadi,yes,no,2.9,177,jayanagar,"north indian, chinese, biryani, andhra, mangalorean",700,3.6729037509220688
subway,yes,no,3.7,136,banashankari,"salad, fast food",600,3.8661486667237264
the lassi park,yes,no,4.1,185,jayanagar,"juices, desserts",200,3.9510181452424598
a2b - adyar ananda bhavan,yes,no,3.8,155,mysore road,"south indian, north indian, chinese, street food",400,3.8826944781610573
srikrishna bhavan,yes,no,3.8,42,banashankari,"south indian, north indian, chinese",300,3.8974566835831737
green gardenia,yes,no,3.8,160,banashankari,"north indian, chinese",700,3.8821439157232343
j spice,yes,no,3.8,59,banashankari,"north indian, chinese",750,3.894907816474075
hatti kaapi,yes,no,4.0,89,jayanagar,"south indian, beverages",200,3.916897177511984
upahara darshini,yes,no,3.9,40,basavanagudi,"north indian, chinese, south indian, fast food",600,3.9041047237847053
the chaat shop,yes,no,2.5,35,basavanagudi,fast food,200,3.8258627487350623
samskruti - sanman gardenia,yes,no,4.1,139,jayanagar,"north indian, chinese, south indian",550,3.9416302475454095
chumma delicious,yes,no,3.7,237,banashankari,"south indian, fast food",200,3.8458817399856873
new prashanth hotel,yes,no,3.9,388,banashankari,"biryani, north indian, seafood, andhra",650,3.9026456391298763
dwaraka grand,yes,no,3.9,128,kumaraswamy layout,"south indian, chinese, street food, juices",500,3.9036023375634894
gufha - the president hotel,yes,yes,4.1,1875,jayanagar,"north indian, afghani, mughlai",1200,4.0531184431095495
mojo pizza - 2x toppings,yes,no,4.2,179,banashankari,pizza,600,3.973104000919674
south kitchen,yes,no,4.3,275,basavanagudi,south indian,100,4.030011640540588
chung wah,yes,no,3.7,323,jayanagar,"chinese, thai, momos",850,3.8321554493524603
prems graama bhojanam,yes,no,4.3,322,jayanagar,south indian,400,4.043910274598192
java city,yes,no,2.6,157,jayanagar,"cafe, american, pizza",450,3.63060171217667
kamat bugle rock,yes,no,3.9,543,basavanagudi,"south indian, fast food",300,3.9022840217884913
puliyogare point,yes,no,4.2,444,basavanagudi,south indian,100,4.031198145611738
bangalore agarwal bhavan,yes,no,3.9,134,jayanagar,"street food, north indian, south indian",400,3.903572525114688
rustic stove,yes,no,3.8,577,jayanagar,"north indian, south indian, biryani, beverages",900,3.8528168499213606
de thaali,yes,no,3.9,144,jayanagar,"north indian, chinese, rolls",550,3.9035239193308144
matru sagar,yes,no,3.6,84,banashankari,"south indian, north indian, chinese",250,3.8665038232713314
sea spice by 7 star,yes,yes,4.0,349,banashankari,"seafood, biryani, beverages, south indian, north indian, kebab",1200,3.939883064583137
desi dawat,yes,no,3.7,248,kumaraswamy layout,"north indian, fast food",400,3.8439691069227044
cafe aira,yes,no,4.1,216,basavanagudi,"cafe, continental, beverages, desserts",500,3.9567411161191437
mast punjabi,yes,no,2.6,231,kumaraswamy layout,"north indian, chinese, rolls, biryani, kebab",400,3.5378224826133193
south grand,yes,no,3.4,102,uttarahalli,"south indian, north indian, chinese, beverages",400,3.8301444166062755
the pizzeria,yes,no,2.8,45,banashankari,"pizza, italian, salad",800,3.826242265264385
ruchis point,yes,no,3.8,75,banashankari,"fast food, chinese",200,3.8926277488110346
firangi bake,yes,no,4.0,53,rajarajeshwari nagar,"mexican, italian",600,3.9122516781182437
the royal corner - pai viceroy,yes,yes,4.2,815,jayanagar,"north indian, chinese",900,4.075739744458143
hara fine dine,yes,yes,4.0,633,banashankari,"north indian, chinese",800,3.953831765284436
chocoberry,yes,no,3.5,56,jayanagar,"ice cream, desserts, beverages",400,3.8693818867204772
waffle-a-go go,yes,no,3.9,70,banashankari,"fast food, desserts, ice cream",400,3.9039184276976533
cross road cafe,yes,no,3.9,91,jayanagar,"cafe, fast food, chinese",300,3.9037977722993387
bakers town,yes,no,3.8,77,kumaraswamy layout,"cafe, continental, fast food",650,3.8923504202217796
ivy,yes,no,3.8,210,kumaraswamy layout,"north indian, chinese, fast food",600,3.8770163304720957
the airos,yes,no,4.1,130,jayanagar,"cafe, italian, pizza",650,3.939653371301177
chai kraft,yes,no,4.1,30,jayanagar,"beverages, tea",100,3.9138326581451675
the trundle,yes,no,3.7,133,jayanagar,"chinese, thai, continental, north indian",700,3.8668371280499296
the krishna grand xpress,yes,no,4.0,136,jayanagar,"south indian, fast food",350,3.9222697121157486
udupi grand,yes,no,3.8,74,basavanagudi,"south indian, north indian, chinese",300,3.892767038658871
little cafe,yes,no,3.7,54,basavanagudi,"cafe, beverages",600,3.8872714429583706
1980s games cafe,yes,no,3.4,58,basavanagudi,"cafe, fast food",400,3.8593067499355147
kadala tarangaa,yes,no,3.6,129,banashankari,"mangalorean, seafood, north indian",600,3.8498473343168733
as on fire,yes,no,3.5,41,south bangalore,"pizza, fast food, bbq",400,3.8781488618799824
curry leaves,yes,no,4.1,176,basavanagudi,"andhra, north indian, chinese",800,3.949269987885461
magic meals,yes,no,3.7,47,jayanagar,"fast food, desserts, beverages",400,3.8893261453105783
desi cream junction,yes,yes,3.7,36,jayanagar,"chinese, north indian, pizza, italian",650,3.8926476566318167
eat repeat,yes,no,3.9,101,basavanagudi,south indian,150,3.9037428911967464
salut,yes,yes,4.1,442,jayanagar,"continental, finger food, seafood, pizza",1200,3.9880833307920125
sandwich mama's and frozen monster,yes,no,3.8,53,jayanagar,"ice cream, beverages, fast food",250,3.8957920507890513
food springs,yes,no,4.0,232,jayanagar,"south indian, chinese",400,3.9313366715773377
chung's chinese corner,yes,no,3.9,221,jayanagar,chinese,700,3.903189754566686
eurasia pasta and barbeque by little italy,yes,yes,4.1,1063,jayanagar,"italian, fast food, salad, bbq",1200,4.030102829932375
goli vada pav no. 1,yes,no,3.7,93,basavanagudi,street food,200,3.876593685245832
ragoo's,yes,no,3.9,233,jayanagar,"italian, pizza, north indian, salad",800,3.9031433018302772
pure & natural,yes,no,3.9,211,jayanagar,"fast food, continental, beverages, salad, healthy food",500,3.9032295270675172
maiyas,yes,no,4.0,1778,jayanagar,"north indian, south indian, fast food, juices",200,3.976146087255445
sip n dine,yes,no,3.6,218,vijay nagar,"north indian, chinese, south indian",800,3.8223610391942504
cafe mondo,yes,no,3.7,514,basavanagudi,"cafe, italian, beverages",600,3.8093122902336187
jalpaan,yes,yes,4.0,866,jayanagar,"north indian, continental",900,3.9612148803762177
kataria's pakwan,yes,no,3.2,96,kumaraswamy layout,north indian,400,3.8059535381486884
juicy momos,yes,no,3.5,80,banashankari,"tibetan, momos",250,3.856170015958493
amande patisserie,yes,no,4.0,73,basavanagudi,"bakery, french, desserts",300,3.91489469986167
anand sweets and savouries,yes,no,3.9,84,jayanagar,"mithai, street food",400,3.9038371566046646
chicken hunt,yes,no,3.5,88,banashankari,"south indian, north indian, chinese, biryani",350,3.851973609290352
swadesh tadka,yes,no,3.5,179,banashankari,"north indian, chinese, beverages",600,3.810376728192401
cane-o-la,yes,no,3.8,61,basavanagudi,juices,100,3.894616688202682
new biryani mane,yes,no,3.7,128,uttarahalli,"north indian, chinese, biryani, south indian",450,3.8679973306093864
upahara darshini,yes,no,3.8,339,jayanagar,"south indian, north indian, chinese",400,3.8663334201162893
karnataka bhel house,yes,no,4.1,449,basavanagudi,street food,100,3.9888366160655275
sreeraj lassi bar,yes,no,4.1,210,jayanagar,beverages,150,3.955668015865354
bunt's biriyani palace,yes,no,3.0,213,banashankari,"north indian, south indian, chinese, biryani, seafood",400,3.6647886575972
chai point,yes,no,3.2,208,jayanagar,"tea, beverages, fast food",250,3.7210138682204614
janahaar,yes,no,3.8,70,banashankari,south indian,100,3.89332841256906
utsav,yes,no,3.7,59,banashankari,"north indian, street food",200,3.8858308933971517
the spice saga,yes,no,3.7,124,kumaraswamy layout,"biryani, north indian, chinese, seafood",750,3.8689371758155926
subz,yes,yes,4.2,2022,jayanagar,"north indian, south indian",1000,4.133138186264121
mint and mustard,yes,no,4.0,232,basavanagudi,"north indian, chinese",750,3.9313366715773377
punjabi raswada,yes,yes,3.5,431,jayanagar,north indian,800,3.73384548014496
vinny's,yes,yes,4.2,2115,banashankari,"pizza, italian, continental, desserts",800,4.135436097822671
sukh sagar,yes,no,3.8,155,jayanagar,"south indian, north indian, chinese, street food",450,3.8826944781610573
andhra ruchulu,yes,yes,4.1,666,jayanagar,"andhra, biryani, north indian, chinese",1000,4.008027112735202
steaming mugs,yes,no,3.9,240,basavanagudi,cafe,700,3.903116823956858
rajathadri food fort,yes,no,4.0,465,jayanagar,"south indian, north indian, chinese, street food",600,3.9464868188524136
brew meister,yes,yes,4.1,970,jayanagar,"north indian, continental, finger food, american, asian",1500,4.0259385526637725
rasoi,yes,no,3.3,128,banashankari,"north indian, chinese",300,3.7967873167011805
mr. singh da dhaba,yes,no,3.6,241,kumaraswamy layout,"north indian, chinese",300,3.816214039312679
ayodhya upachar,yes,no,4.3,734,banashankari,"south indian, north indian, chinese, street food",200,4.12353968355332
biriyani mane,yes,no,3.8,130,jayanagar,"north indian, biryani",400,3.8855618317727445
cafe ajfan,yes,no,4.2,261,jayanagar,"cafe, continental, beverages",700,3.9949414092818647
brundhavana food point,yes,no,4.0,191,kumaraswamy layout,"south indian, north indian, chinese, street food, beverages",300,3.927736676097377
slv corner restaurant,yes,no,4.1,364,basavanagudi,"south indian, chinese, north indian, street food, rolls, juices",550,3.9789424928881134
the krishna grand,yes,no,3.9,888,banashankari,"north indian, south indian, chinese, fast food, juices",750,3.901751237801318
roti ghar,yes,no,3.9,750,basavanagudi,"north indian, chinese, south indian",500,3.901931454666778
baisakhi,yes,no,3.8,527,basavanagudi,north indian,500,3.8551789630663222
poonam sweets,no,no,4.4,356,banashankari,mithai,150,4.090697022923072
polar bear,yes,no,3.9,116,banashankari,"ice cream, desserts, beverages, sandwich",400,3.903663480492431
sri venkateshwara sweet meat stall,no,no,4.0,98,basavanagudi,"mithai, street food, north indian, chinese",400,3.917982700592379
a2b veg - adyar ananda bhavan,yes,no,2.7,97,basavanagudi,"south indian, north indian, chinese, street food",400,3.734578605680449
jcubez,no,yes,3.8,977,banashankari,finger food,1300,3.8393431637169315
chung wah,yes,no,3.9,519,banashankari,"chinese, momos, thai, vietnamese",900,3.902333406043377
iyer's tiffin centre,no,no,3.8,62,banashankari,"south indian, chinese",150,3.894471792814929
beijing bites,no,no,2.7,128,banashankari,"chinese, thai",850,3.6899722958388717
taaza thindi,no,no,4.7,651,banashankari,south indian,100,4.321409082695772
sri laxmi venkateshwara coffee bar,no,no,4.4,343,banashankari,south indian,100,4.086391949366327
messy bowl,no,no,3.8,70,banashankari,"fast food, beverages",500,3.89332841256906
hotel mangala,no,no,3.9,88,banashankari,south indian,250,3.903814551852944
slv swadishta,no,no,3.8,189,banashankari,south indian,300,3.879089847061729
new sagar fast food,no,no,3.6,71,banashankari,"north indian, south indian",250,3.8717372820364786
pizza stop,yes,no,3.0,87,banashankari,"pizza, italian",600,3.788333452371901
slv refreshment,no,no,4.1,94,banashankari,south indian,100,3.9312263951943778
kavali,no,no,4.0,42,banashankari,"south indian, street food",300,3.9107268257632684
ranganna military hotel,no,no,4.2,725,jayanagar,"south indian, biryani",350,4.067241702665767
vidyarthi bhavan,no,no,4.4,4460,basavanagudi,south indian,150,4.342009519047347
bharjari oota,no,no,3.9,153,basavanagudi,south indian,350,3.9034812912743933
soho bar & grill,no,no,2.7,377,basavanagudi,"north indian, chinese, thai",1100,3.4353203313100713
bhavani restaurant,no,no,3.9,100,basavanagudi,"south indian, north indian, chinese",300,3.9037483078265542
zephyr,no,no,3.9,133,basavanagudi,"italian, continental",650,3.9035774595416424
hotel dwarka,no,no,4.2,253,basavanagudi,south indian,250,3.9929977259575224
ma-arya family restaurant,no,no,3.7,61,basavanagudi,"biryani, south indian, north indian, chinese, andhra",600,3.8852608599818232
udupi sri krishna bhavan,no,no,4.1,238,basavanagudi,south indian,600,3.960542920033955
ice thunder,no,no,3.8,124,basavanagudi,"south indian, fast food, north indian, desserts",300,3.88627983315825
mahalaxmi tiffin room,no,no,4.1,177,basavanagudi,south indian,100,3.9494662509220686
sandwichwallas,yes,no,4.0,132,basavanagudi,fast food,200,3.9218396690292514
basavanagudi mylari,no,no,4.0,52,basavanagudi,south indian,300,3.912115211054664
pramukh family restaurant,no,no,3.9,111,basavanagudi,"north indian, chinese, mughlai",700,3.903689573658332
vybhava,no,no,3.8,39,jayanagar,"south indian, north indian",250,3.897920763028808
shree venkateshwara north karnataka hotel,no,no,4.0,64,basavanagudi,south indian,200,3.9137253140582424
belly squad food truck,no,no,3.8,55,south bangalore,"chinese, rolls, biryani, momos",300,3.8954954809723663
deja vu resto bar,yes,yes,4.4,2487,bannerghatta road,"north indian, italian",900,4.304837583076072
fattoush,yes,yes,4.2,1964,bannerghatta road,"arabian, biryani, chinese, middle eastern, fast food, north indian, mughlai, seafood",1000,4.131620383838806
empire restaurant,yes,no,4.3,3178,bannerghatta road,"north indian, mughlai, south indian, chinese",750,4.237964998861276
abhiruchi hotel,yes,no,3.3,455,bannerghatta road,"andhra, biryani, north indian, chinese",550,3.6414819127228952
barbeque nation,no,yes,4.7,3845,jp nagar,"north indian, european, mediterranean, bbq, kebab",1600,4.594001370763785
sattvam,no,no,4.3,353,jp nagar,"north indian, south indian",1200,4.052320000750158
24th main,no,yes,4.1,1234,jp nagar,"north indian, south indian, chinese",800,4.036652099018164
zaitoon,yes,yes,4.1,1538,jp nagar,"bbq, arabian, chinese, north indian, desserts",1000,4.045697548477289
oye amritsar,yes,yes,3.8,756,jp nagar,north indian,1000,3.8457981297016692
melt - eden park,yes,yes,4.0,347,jp nagar,"north indian, chinese, thai, mughlai, seafood",1000,3.9397548834841674
spice code,no,yes,4.0,165,jp nagar,"south indian, north indian, chinese, biryani",1000,3.9252514295081333
the onyx - the hhi select bengaluru,no,no,3.3,177,jp nagar,"north indian, chinese, continental",950,3.765091250922069
sankranthi veg restaurant,yes,no,3.0,102,btm,"south indian, north indian, chinese",600,3.7712699577318163
cafe kabana,no,yes,4.0,200,bannerghatta road,"cafe, continental",700,3.928558888379455
butterly,yes,no,3.9,102,bannerghatta road,"cafe, bakery, beverages",450,3.903737490199349
black mug cafe,yes,no,3.7,171,bannerghatta road,cafe,300,3.8585171662836597
#refuel,yes,no,3.7,37,bannerghatta road,"cafe, beverages",400,3.892340892847371
wafl,yes,no,3.9,40,bannerghatta road,"cafe, fast food, desserts, beverages",400,3.9041047237847053
vaho kafe & pressery,no,no,3.9,125,bannerghatta road,"cafe, healthy food, asian, italian, north indian, biryani, juices",500,3.9036174311566327
dreamcatcher,yes,no,3.9,49,bannerghatta road,cafe,600,3.9040470011064823
cafe arabica,no,no,3.8,69,bannerghatta road,"cafe, bakery",700,3.893469819254771
kalmane koffees,no,no,3.9,78,bannerghatta road,cafe,350,3.903871570565245
brews n bites,yes,no,2.7,48,bannerghatta road,"chinese, fast food, cafe, street food, finger food",650,3.813912489371125
slate cafe,yes,no,4.1,46,jp nagar,"cafe, sandwich, burger",600,3.9185087609233107
dialogues,no,no,4.0,129,jp nagar,"cafe, continental",600,3.92151400098354
mudpipe cafe,yes,yes,3.9,727,jp nagar,"cafe, continental, north indian",800,3.9019651598696123
tab - take a break,no,no,4.1,521,jp nagar,"cafe, continental, italian",550,3.996034245241141
biggies burger 'n' more,yes,no,4.1,203,jp nagar,"cafe, burger, beverages",650,3.954395567642505
onesta,yes,yes,4.4,4381,jp nagar,"pizza, cafe, italian",600,4.341088109555139
cafe potpourri,yes,no,3.7,131,jp nagar,"cafe, sandwich, north indian, beverages, desserts",400,3.867299280759209
vinaya coffee moments,yes,no,3.7,46,jp nagar,"burger, cafe, desserts, sandwich, italian",450,3.889623360609339
cuppa,no,no,3.4,48,jp nagar,"cafe, fast food",550,3.866494648995538
skytouch le cafe,yes,no,3.7,127,jp nagar,"cafe, italian, desserts",700,3.8682313101784804
woodee pizza,yes,no,2.7,85,jp nagar,"cafe, pizza, fast food, beverages",500,3.7529439063730017
sai abhiruchi,yes,no,3.7,335,btm,"andhra, north indian, biryani",800,3.830442851736662
capsicum family restaurant,yes,no,3.8,254,btm,"biryani, north indian",800,3.8730060126723656
easy bites,yes,no,4.1,63,jp nagar,"fast food, sandwich",300,3.9232264231011453
hiyar majhe kolkata,yes,no,4.0,244,btm,"bengali, north indian",400,3.9323234499498794
sri lakshmi dhaba,yes,no,2.9,255,btm,north indian,250,3.601643121404431
xo belgian waffle,yes,no,4.5,549,btm,"desserts, beverages",400,4.191219369042235
swadista aahar,yes,no,4.1,775,btm,"south indian, north indian, chinese, street food",300,4.015366091294398
al-bek,yes,no,3.6,208,jp nagar,"biryani, north indian, charcoal chicken, chinese, seafood, rolls",300,3.8251440309238407
aniram's,yes,no,4.1,739,jp nagar,"chinese, north indian",500,4.0130752486527435
punjabi nawabi,yes,no,3.8,310,bannerghatta road,north indian,400,3.868468458055659
swad punjab da,yes,no,4.0,126,btm,north indian,150,3.921185607682216
box8- desi meals,yes,no,4.1,427,bannerghatta road,"north indian, mughlai, fast food",500,3.986434263956924
roti wala,yes,no,4.0,197,btm,north indian,300,3.9282869044519657
midnight mania,yes,no,4.1,601,btm,"pizza, italian, beverages",700,4.003011812674622
